五十音,店舗名,住所,電話番号,サービス内容,一言PR,お店の特徴,ホームページ,営業時間,定休日,駐車場,その他,スタンプラリー,メッセンジャー,ジャンル,
あ,アクトCafe,静岡県島田市島76-1,0547-45-3101,大井川杉の梁材を利用した、ベンチづくりの木工体験を行います。小さなお子様でも、スタッフが補助致します。作る物は、3種類ご用意します。①ベンチ大/高さ400ｍｍ×幅900ｍｍ×奥行（約）210ｍｍ（１５００円） ②ベンチ小/高さ400ｍｍ×幅450ｍｍ×奥行（約）180ｍｍ（１０００円） ③踏み台/高さ230ｍｍ×幅360ｍｍ×奥行（約）180ｍｍ（５００円）お部屋に置くと、杉の香りが優しく癒してくれます。④移動石窯ピザ屋La Balena Volanteさんのピザも販売します！,「心豊かに暮らすヒントを学ぶ講座」を、毎月開催しています。キッチン付きレンタルスペースとなっているので、ぜひご活用ください。,アクトCafeでは、毎月、講師の方を招き、心豊かに暮らすヒントを学ぶ講座「くらし・たのしの会」を開催しています。日々の暮らしの中で、アクトCafeで学んだことをふと思い出し、“日常にプラスα”をしてもらえたらとうれしいです。また、会場はレンタルスペースとしてもご利用いただけます。木に包まれ、心地よい空間で、、誰でも利用可能な『レンタルスペース』。 ちょっとした会合や、各種教室、ライブ、イベント会場としてお使い頂けます。 キッチン付きなので、お料理教室や開業前のプレ店舗としての利用も可能です。 利用時間はam8:00~pm9:00。利用料は１時間毎500円（最初の１時間のみ1000円）となっております。,http://www.act-home.jp/,7：30～17：30,第１・３土曜/日曜※レンタルは第１・３土曜/日曜ともご利用いただけます。,30台,ダイレクトメールを３５０部ほど１１上旬に出すので、400部ほどいただければと思います。,,参加しない,その他,
あ,朝日園 茶房遊,静岡県島田市川根町身成4693番地,0547-53-4488,"茶房遊およびビッグネーチャー会場で当日限定天王山レインボー（かき氷）の販売。シマアツの合言葉で50円引き。茶房遊店内でシマアツ限定特別お茶バーガーを販売いたします。","美味しい厳選のシマアツ食材を使ったシマアツ丼をぜひ食べにいらして下さい。",川根町にあるお茶カフェです。家族みんなで楽しめる空間です。川根茶の販売はもちろんのこと、一年中提供しているかき氷は大人気♪その他、川根抹茶のジェラートやソフトクリリームなどがございます。,,10時～18時,不定休,25台,,参加する,,食品関連,
あ,朝日園 駅前店,静岡県島田市川根町家山372-1,0547-53-2058,500円（税込）以上のお買い物をしていただいたお客様に、クイズを出題。正解で「ミニ抹茶アイス」を１つプレゼント。,朝日園の温かいお茶でホッとひと息いかがでしょうか。,大井川鐡道家山駅から徒歩１０秒のお店の前には、ＳＬが走っています。囲炉裏の前でお茶を飲みながら、ＳＬの汽笛が聞こえてきます。店内のどのお茶も試飲が可能となっておりますので、お気軽にご相談ください。（喫茶はございません）,,8:00～18:00,年中無休,,６台,,参加する,食品関連,
あ,味わい処 座楽,静岡県藤枝市青南町4-12-22,054-636-7890,特別ランチメニュー割引券の配布""",メニューが見やすく新しくなりました。,藤枝と島田の境にある「味わい処 座楽」。海鮮料理と20種以上の日本酒がウリ 他にはなかなかない「離乳食のメニュー」が充実お子様づれでも、ゆっくりと楽しめるお店です。送迎バスもありますので帰りを気にすることなく楽しめます。個室2～50名様迄OK,https://r.gnavi.co.jp/5hbknu6z0000/,11時から22時,水曜日,有 40台,,,参加しない,飲食,zaraku.jpg
あ,磯藤,島田市大井町2-4,0547-35-0225,サクサク天重御膳 1000円,駿河湾や御前崎沖の新鮮な魚介類や、スペインよりイベリコ豚も取り寄せています。ジャンルにとらわれない創作料理をリーズナブルな価格で御提供しております。,小さくアットホームなお店です。お客様同士が仲良くなれ新しい人の繋がりが持てる事も魅力の１つです。,,ランチ11:00～14:00（ラストオーダー13:15）夜17:00～22:00,水曜,8台,,,参加しない,飲食,
あ,お食事処たばこや,静岡県島田市川根町家山６６０－２,0547-53-2103,ご来店された方に粗品のプレゼントを致します。,当日は粗品のプレゼントをしますので是非ご来店下さい！,川根のまちで食事処やってます！お昼は定食をメインに食事を提供しております。また法事、慶事等宴会などにもご利用頂けます。,,１１：００～１４：００・１７：００～２０：００,月曜日,１5台,,,参加する,飲食,
あ,有限会社 お茶のあおしま,静岡県島田市井口1206,0547-38-3739,自社の駐車場でイベントを行います。食べ物、ワークショップ、癒し体験、地場野菜の販売等々、青空の下の楽しいマルシェです。お得で楽しい一日をお過ごしください！,老舗のお茶問屋がマルシェします！,静岡県内のお茶農家さんと共に考え、安心安全なお茶づくりを目指しています。店主がお客様のリクエストにお答えしてオリジナルのブレンド茶を作っています。世界にひとつだけの味を作りませんか？,http://www.ocha-aoshima.co.jp,9:00am-18:00pm,日曜日 祭日（シマアツ開催日は営業）,有 10台,,,参加する,食品関連,
あ,お茶のさすき園,静岡県島田市阪本938-1,0547-38-2107,土日祝日ご利用可能の足湯チケットのプレゼント,お茶をのみ続けるをモットーに,この度さすき園は、なんと店舗を全面改装いたしました！！ 店内も格段に広くなり、商品アイテムも増えております。さらにお茶屋でカフェを楽しめるスペースもできました。家族ずれのお客様にも楽しんでいただけるよう、中庭でお遊戯できる場所もあります。 お茶はどこにも負けない鮮度と品質。さすきは今までもこれからもより良くを追求し続けます。飲み茶から贈答品、配達も致します。,http://sasuki.jp,月～土9：00～19：00、日祝9：00～18：00,なし,30台,,,参加する,食品関連,
か,海産物処ふじ田,静岡県島田市新田町5-24,0547-37-6671,県内各店から、当店がお勧めできる逸品を1日限定で販売します。逸品市場限定のコラボ商品もあり！,生かつお手火山のかつお節屋,海産物、乾物の専門店。御前崎港にあがった一本釣りの生鰹を使用した「手火山式かつお節」の取扱店です。一本釣り、生鰹、手火山式。この３つの条件がそろうかつお節は生産量が少なく全国的にみても希少です。風味、口どけをお楽しみください。ギフト商品も承ります。お気軽にお問い合わせください。,http://www.kaisanbutsu-fujita.com/,９：００～１９：００,日曜,５台,,,参加する,食品関連,
か,かざりや平林,島田市本通6丁目7862,0547-37-5614,指10本のサイズを測っちゃお。今すぐ必要だから、いつかの日のために、自分の今を知るために、プレゼントを要求するために。指のサイズを測っておいてはどうでしょう。,自分を知るって面白いですよ。,宝飾品の修理、加工、リフォームの専門店。1892年創業。 アクセサリーからストラップ、数珠、直せるものは何でも直します。宝飾の職人がお客様に丁寧に説明させていただきます。当店オリジナルの商品もあります。,http://kazariya.tv,9:30-20:00,水曜,2台,,,参加しない,雑貨,
