店舗名,ジャンル,ホームページ,住所,経度,緯度,電話番号,電話番号2,営業時間,定休日,お店の特徴
ＲＯＳＥ　ＳＨＯＰ,雑貨,,島田市ばらの丘1丁目２１－１,138.1753275,34.8518588,0547-37-0888,0547370888,10：00～17：00ランチ11：30～16：00ラストオーダー,定休日　12月～3月の月曜日　他は無休,"バラのソフトクリームを中心にランチも大人気。バラの雑貨もたくさん揃っています。休日はリゾート気分でぜひお過ごしください。"
小さな雑貨屋　ぽっけ,雑貨,http://ameblo.jp/poche-zakka,島田市中央町15-9,138.1754439,34.8374023,0547-54-4426,0547544426,"10:00～19：00",毎週火曜日（祭日は営業日、翌日休みになります。）,大事な人や仲のいい友達へのプレゼントや頑張っている自分へのごほうびなどに選んでいただける、キッチン用品やタオル、観葉植物やガーデンアクセサリー、今流行りのアロマやファッションとアクセサリーの他、ハンドメイドの作家さん達による作品など見ているだけでも楽しい雑貨達がいっぱいです。
磯藤,飲食,ランチ11:00～14:00（ラストオーダー13:15）夜17:00～22:00,島田市大井町2-4,138.1729692,34.8347915,0547-35-0225,0547350225,水曜,,"小さくアットホームなお店です。お客様同士が仲良くなれ新しい人の繋がりが持てる事も魅力の１つです。"
株)なるおかサイクル,その他,http://www.naro-jp.com,島田市大井町6-11,138.1727053,34.8338333,0547-37-3609,0547373609,平日11:00～20:00　週末10:00～20:00,水曜,第一回から参加させて頂いております、総合自転車店です！海外有名スポーツサイクルブランド、TREK SPECIALIZED cannondel PINARELLOを扱っております！是非、遊びに来て下さい！
桑原精肉店,食品関連,http://焼豚.jp,島田市本通1丁1-17,138.1728831,34.8332556,0547-35-3258,0547353258,09:00～18:00,水曜,"焼豚 ローストチキン 精肉などを真空パックにして地方発送をしております 賞味期限は一週間になっております 加工品は湯煎で温めてお食べいただけます御注文 お待ちして居ります"
シマダリフォーム,衣類,,島田市本通1-3-4,138.1726526,34.8322335,0547-37-5421,0547375421,9:00～19:00,水曜,"地元で創業35年。紳士服と婦人服の両方を修業したプロの職人が１つ１つ丁寧にお直しいたします！気やすさを重視した提案力で、お客様1人1人にあったお直しをいたします。安心安全のアフターフォローあり。洋服の事なら、当店にお任せください。"
そね接骨院,その他,http://sonesekkotsuin.web.fc2.com, 静岡県島田市本通1-4-7,138.1722582,34.8326474,0547-54-4165,0547544165,8:00～11:30、15:00～19:00,日曜　水曜午後と土曜午後,"当院では、低周波治療器を用いたハイボルテージ療法やランダムアクセス波などを使い症状や部位に応じた治療を行います。日頃からの身体に関するお悩みから、スポーツや交通事故などでのお怪我まで承ります。一緒に完治させましょう！"
ふじ膳,飲食,,島田市栄町2-4,138.1749217,34.8312809,0547-37-3990,0547373990,11:00～14:00 17:00～0:00,月曜,"島田駅から徒歩１分！創業38年。家庭的な居酒屋ふじ膳です。いつもは夜の営業ですが…シマアツ限定でランチ営業をさせて頂いてます。初めての方もランチタイムを是非覗いてみて下さい。お待ちしてまーす。"
シェアキッチンTHE GROUND,その他,http://sorailo.com,島田市栄町2-3,138.1749134,34.8313503,090-6362-0683,09063620683,不定,不定,"みんなで使うシェアキッチン「THE GROUND」はキッチン付きのレンタルスペースです！★自分の得意を活かし「1日カフェ」をオープン！ ★仲間と一緒に貸切パーティー ★キッチン付きだからできる！お料理教室 など、みなさんのアイデアで多様にご活用ください！"
bloom アロマのお店,その他,http://wp.at-ml.jp/66210/,島田市栄町2-1,138.1745107,34.8312892,0547-37-8210,0547378210,10:00?19:00,水曜日,"島田市には少ない アロマとエステのお店です。アロマ教室の生徒さんだけでなく、一般のお客様にも【アロマクラフト】として、アロマを混ぜてお作りするオリジナルの香りのアイテム各種の販売もしております。美容部門では、しっかり抜ける脱毛のほか バストケア、美顔等も行っており アロマの焚かれたお部屋でのリラックスも兼ねたケアがご好評いただいています。"
ビューティスタジオ・ノエ,その他,http://ameblo.jp/beautystudio-k/,島田市日之出町1-3,138.1748134,34.8320641,0547-357888,0547357888,10：00～13：00※シマアツ当日のみ,日曜・祝日,"当店は、お客様の実現したい希望や目的に合わせて美容と健康のお手伝いをしています。お客様のキレイの実現の為に、出来ることは全て行い、実現していく事を責任持って営業しております。"
村松時計店,雑貨,,島田市本通３丁目６－１,138.1757522,34.8325224,0547－35－2653,0547352653,ＡＭ９：００～ＰＭ６：００,水、祝祭日,"創業100年！！ビンテージ時計が大好きな店主です。一緒に大好きな時計のお話しをしましょう♪時計でお困りの方は御相談下さい。"
文具・事務機のオカダ,雑貨,,島田市本通三丁目5-7,138.1761077,34.8330473,0547-36-2626,0547362626,平日・土曜日　9:00-20:00　日曜・祝日　10:00-19:00,なし,定番や最新の文具や画材、その他セレクトした雑貨などを揃えています。2F工房では名刺や封筒印刷、チラシやDMなどのデザインも行っています。なんでもお気軽にご相談ください。
和座こまつ,飲食,,島田市幸町17-4,138.1760244,34.8338444,0547-37-3681,0547373681,ランチ11:00-14:00 ディナー平日17:00-22:00 日・祝日17:00-21:00,月曜,地元島田市の新鮮な野菜や駿河湾の魚介類を踏んだんに使った四季折々の料理をお楽しみ下さい。地酒や銘酒も取り揃えております。
zeal,衣類,,島田市本通４丁目６－５,138.1771548,34.8324474,0547-33-6685,0547336685,日～木　11：30～18：00　金・土　11：30～22：00,火曜,古着・雑貨・新品・男女洋服のお店です。
Cafe Zeal,飲食,https://www.instagram.com/zeal_cafezeal/,島田市本通４丁目６－５,138.1771548,34.8324474,0547-33-6686,0547336686,日～木　11：30～18：00　　金・土　11：30～22：00,火曜,"ゆったりとしたソファーでくつろげる店内です。仲の良いお友達や同僚、ご家族と楽しい時間をお過ごしください。"
かざりや平林,雑貨,http://kazariya.tv,島田市本通6丁目7862,138.1791018,34.8322613,0547-37-5614,0547375614,9:30-20:00,水曜,"宝飾品の修理、加工、リフォームの専門店。1892年創業。 アクセサリーからストラップ、数珠、直せるものは何でも直します。宝飾の職人がお客様に丁寧に説明させていただきます。当店オリジナルの商品もあります。"
龍月堂,食品関連,http://shizuoka.j47.jp/ryugetsudo/, 島田市本通6丁目7847,138.1794851,34.8321919,0547-37-3297,0547373297,8:00～19:30,火曜,"良い材料を使い、伝統を守りつつ新しいお菓子を提案しております。季節ごとにお菓子が変わって行きますので、移り変わりを楽しんで下さい。定番の味噌饅頭、生クリーム大福、大吟醸カステラもオススメです。"
ラ・ミニョン,その他,http://minyonss.jp/,島田市本通6丁目7814,138.1803139,34.8321891,090-7867-3377,09078673377,10:00～21:00 カフェは17:00まで,月曜日木曜日 第3日曜日,"隠れ家的な所にカフェ&レンタルスペースが有ります。六丁目の小澤タバコやの中が喫茶になっています。探してください。身体に良い飲み物をセレクトして、ご用意しております。ランチも始めました。8人用のレンタルスペース、ミーティング、会議、ワークショップとお気軽にご利用ください?"
海産物処ふじ田,食品関連,http://www.kaisanbutsu-fujita.com/,島田市新田町5-24,138.1790407,34.8346055,0547-37-6671,0547376671,９：００～１９：００,日曜,"海産物、乾物の専門店。御前崎港にあがった一本釣りの生鰹を使用した「手火山式かつお節」の取扱店です。一本釣り、生鰹、手火山式。この３つの条件がそろうかつお節は生産量が少なく全国的にみても希少です。風味、口どけをお楽しみください。ギフト商品も承ります。お気軽にお問い合わせください。"
