店舗名,郵便番号,住所,営業時間,定休日,カード（カード使用ができるかどうか）,電話,URL,緯度,経度,店舗紹介,頭文字
アクトCafe,,静岡県島田市島76-1,7：30～17：30,第１・３土曜/日曜※レンタルは第１・３土曜/日曜ともご利用いただけます。,,0547-45-3101,http://www.act-home.jp/,34.84022,138.133644,アクトCafeでは、毎月、講師の方を招き、心豊かに暮らすヒントを学ぶ講座「くらし・たのしの会」を開催しています。日々の暮らしの中で、アクトCafeで学んだことをふと思い出し、“日常にプラスα”をしてもらえたらとうれしいです。また、会場はレンタルスペースとしてもご利用いただけます。木に包まれ、心地よい空間で、、誰でも利用可能な『レンタルスペース』。 ちょっとした会合や、各種教室、ライブ、イベント会場としてお使い頂けます。 キッチン付きなので、お料理教室や開業前のプレ店舗としての利用も可能です。 利用時間はam8:00~pm9:00。利用料は１時間毎500円（最初の１時間のみ1000円）となっております。,あ
朝日園 茶房遊,428-0103,静岡県島田市川根町身成4693番地,10時～18時,不定休,,0547-53-4488,,34.930125,138.085281,川根町にあるお茶カフェです。家族みんなで楽しめる空間です。川根茶の販売はもちろんのこと、一年中提供しているかき氷は大人気♪その他、川根抹茶のジェラートやソフトクリリームなどがございます。,あ
朝日園 駅前店,428-0104,静岡県島田市川根町家山372-1,8:00～18:00,年中無休,,0547-53-2058,,34.940866,138.077533,大井川鐡道家山駅から徒歩１０秒のお店の前には、ＳＬが走っています。囲炉裏の前でお茶を飲みながら、ＳＬの汽笛が聞こえてきます。店内のどのお茶も試飲が可能となっておりますので、お気軽にご相談ください。（喫茶はございません）,あ
味わい処 座楽,426-0063,静岡県藤枝市青南町4-12-22,11時から22時,水,,054-636-7890,https://r.gnavi.co.jp/5hbknu6z0000/,34.837283,138.235667,藤枝と島田の境にある「味わい処 座楽」。海鮮料理と20種以上の日本酒がウリ 他にはなかなかない「離乳食のメニュー」が充実お子様づれでも、ゆっくりと楽しめるお店です。送迎バスもありますので帰りを気にすることなく楽しめます。個室2～50名様迄OK,あ
磯藤,,島田市大井町2-4,ランチ11:00～14:00（ラストオーダー13:15）夜17:00～22:00,水曜,,0547-35-0225,,34.834798,138.172965,小さくアットホームなお店です。お客様同士が仲良くなれ新しい人の繋がりが持てる事も魅力の１つです。,あ
お食事処たばこや,428-0104,静岡県島田市川根町家山６６０－２,１１：００～１４：００・１７：００～２０：００,月曜日,,0547-53-2103,,34.942367,138.075808,川根のまちで食事処やってます！お昼は定食をメインに食事を提供しております。また法事、慶事等宴会などにもご利用頂けます。,あ
有限会社 お茶のあおしま,427-0104,静岡県島田市井口1206,9:00am-18:00pm,日曜日 祭日（シマアツ開催日は営業）,,0547-38-3739,http://www.ocha-aoshima.co.jp,34.794751,138.233864,静岡県内のお茶農家さんと共に考え、安心安全なお茶づくりを目指しています。店主がお客様のリクエストにお答えしてオリジナルのブレンド茶を作っています。世界にひとつだけの味を作りませんか？,か
お茶のさすき園,427-0111,静岡県島田市阪本938-1,月～土9：00～19：00、日祝9：00～18：00,なし,,0547-38-2107,http://sasuki.jp,34.813336,138.215969,この度さすき園は、なんと店舗を全面改装いたしました！！ 店内も格段に広くなり、商品アイテムも増えております。さらにお茶屋でカフェを楽しめるスペースもできました。家族ずれのお客様にも楽しんでいただけるよう、中庭でお遊戯できる場所もあります。 お茶はどこにも負けない鮮度と品質。さすきは今までもこれからもより良くを追求し続けます。飲み茶から贈答品、配達も致します。,か
海産物処ふじ田,427-0059,静岡県島田市新田町5-24,９：００～１９：００,日曜,,0547-37-6671,http://www.kaisanbutsu-fujita.com/,34.834602,138.179024,海産物、乾物の専門店。御前崎港にあがった一本釣りの生鰹を使用した「手火山式かつお節」の取扱店です。一本釣り、生鰹、手火山式。この３つの条件がそろうかつお節は生産量が少なく全国的にみても希少です。風味、口どけをお楽しみください。ギフト商品も承ります。お気軽にお問い合わせください。,か
かざりや平林,,島田市本通6丁目7862,9:30-20:00,水曜,,0547-37-5614,http://kazariya.tv,34.832264,138.179115,宝飾品の修理、加工、リフォームの専門店。1892年創業。 アクセサリーからストラップ、数珠、直せるものは何でも直します。宝飾の職人がお客様に丁寧に説明させていただきます。当店オリジナルの商品もあります。,か
片川工務店,427-0039,静岡県島田市向谷4-1014-2,8：00～18：00,水曜日,,0547-37-3118,http://www.katakawakoumten.jp/,34.841855,138.151711,,か
株式会社カネハチ初倉店,427-0111,静岡県島田市阪本1462-1,9:00～20:00,原則無休,,0547-38-1331,,34.807751,138.218714,地域に密着したいお店です 地域を盛り上げたいお店です お客様の為になる価値あるものを提供したいお店です お客様と笑顔で触れ合いたいお店です お客様を愛したいお店です そんな心のお店です,か
Cafe &Cafe ポプリ,,島田市大津通り4－3,AM10:00～LOPM9:30,第2・第4 木曜日,,0547-36-7771,http://popuri-co.jp,34.835243,34.835243,トアルコトラジャコーヒーの飲める店として、県内からお客様が、おいでくださっています。実は ハンバーグの美味しいお店としても、根強い人気店。イラストデコレーションは全国に発送している実力店 クオリティーの高さとリーズナブルなお値段は他店を寄せ付けません！,か
クルマ買取・輸出 カースタ／（株）田中石油店,427-0107,静岡県島田市船木244-5,7:00～20:00（日曜：8:00～19:00）,なし,,0547-38-0079,http://www.facebook.com/CarexporterCARSTA/,34.804651,138.222942,出光のガソリンスタンドです！車の輸出・買取だけでなくレンタカーや中古車の販売もしています。今年から新車の個人向けリースも始めました！クルマのことならなんでもご相談に乗ります。ぜひ一度お立ち寄りくださいね！,か
桑原精肉店,427-0022,静岡県島田市本通１丁１-１７,09:00～18:00,水曜,,0547-35-3258,http://焼豚.jp,34.833256,138.172883,焼豚 ローストチキン 精肉などを真空パックにして地方発送をしております 賞味期限は一週間になっております 加工品は湯煎で温めてお食べいただけます 御注文 お待ちして居ります,か
ゴルフ室内練習場 ショットメーカー,427-0103,静岡県島田市中河996-1,6時～22時(21時受付終了),無し,,0547-38-3293,http://shotmaker.golf-hp.com/,34.801821,138.24363,雨風に関係無く練習できる室内型です。時間制打ち放題なので、スイング作りに最適です。,か
喫茶　カンサー,428-0034,静岡県島田市金谷富士見町1681-76,10:00-21:00 ラストオーダー8:30,月曜日,,0547-46-1733,http://shizuoka.j47.jp/cancer/,34.816148,138.133993,"カンサーからは焼津までを、一望できます。天気のいい日には。駿河湾がみえ、伊豆もみえます。冬には、真正面に、富士山がみえて四季折々を、楽しむことができます。富士山にちなかんだ
スイーツの、富士山パンケーキが、人気の商品となってます。是非一度お召し上がりください。",さ
花と香りの店　カモマイル,428-0017,静岡県島田市金谷栄町3465-1,9時30分?18時,日曜日（シマアツはイベント営業）,,0547-45-3752,https://www.eflora.co.jp/shop/kamomairu/,34.831427,138.127702,切り花をはじめ、園芸品やプリザーブドフラワー、フレグランスフラワーなどカモマイルのオリジナルを多種販売しています。手づくり雑貨の委託販売も人気の作家さんの素敵な物を取り揃えた楽しいお店です。各種教室も開講（フラワーアレンジ、ブーケコサージュ、フラワーセラピー＆アロマ、生け花、プリザーブド）随時生徒募集中です。シマアツでは。この日だけの楽しい！美味しい！素敵！を一杯ご用意しますので、是非遊びに来てください。レモネードスタンドチャリティーも行います。,さ
サンカク公園プロジェクト,427-0028,静岡県島田市栄町2-3,7:30?8:30,不定休,,090-6362-0683,,34.831403,138.174903,,さ
シェアキッチンTHE GROUND,,島田市栄町2-3,不定,不定,,090-6362-0683,http://sorailo.com,34.857157,138.115655,みんなで使うシェアキッチン「THE GROUND」はキッチン付きのレンタルスペースです！ ★自分の得意を活かし「1日カフェ」をオープン！ ★仲間と一緒に貸切パーティー ★キッチン付きだからできる！お料理教室 など、みなさんのアイデアで多様にご活用ください！,さ
