type,area,name,adress,time,holiday,card,tell,url,index,furigana
衣類,Central《島田中心エリア》,&mm SOUVENIR STORE,島田市日之出町2-16,10:30～19:00,,,0547-34-5545,http://s.ameblo.jp/andmmsouvenirstore/,"古着のリメイク、一点物のアンティークビーズアクセサリー、ベルギーのリネンの服など「ここにしかないもの」を集めてあります。",あ
飲食店,Central《島田中心エリア》,Cafe Zeal,島田市本通4-7937-2,"土曜　11:30～22:00日曜　10:30～18:00",火曜日,,0547-33-6686,http://shimada-eh.appspot.com/detail/agxzfnNoaW1hZGEtZWhyCwsSBFNob3AY_VAM,人気の煮込みハンバーグや日替わりパスタ、インドネシア風チャーハンのナシゴレンなどはお店の手作り料理です。数種類のケーキもcafe Zealオリジナルです。,か
食品関連,Central《島田中心エリア》,ku-pan,島田市旗指534-7,10:00～19:00,水曜日・木曜日定休（不定休あり）,,0547-37-6515,http://d.hatena.ne.jp/ku-pan/about,本格パンからマシュマロを使ったオリジナルパンまで,く
飲食店,West《金谷エリア》,This is Cafe 新金谷駅店,島田市金谷東2丁目112-2,9:00～17:00,,,0547-46-5810,http://www.this-is-cafe.com/shinkanaya/index.html,SLの見える駅でおいしいラテをどうぞ,で
衣類,Central《島田中心エリア》,Zeal,島田市本通4-6-5,11：30～20：00,,,0547-33-6685,http://shimada-eh.appspot.com/detail/agxzfnNoaW1hZGEtZWhyCwsSBFNob3AY_VAM,古着、雑貨、レディース、メンズ、アクセサリーのセレクトショップです。,じ
家具,Central《島田中心エリア》,インテリアショップFORMS,島田市中央町１５?５（島田郵便局 本局前）,10：00～19：00,水曜日,,0547-33-5880,http://www.forms.co.jp/,素材を活かしたこだわりの家具と雑貨を取り揃えています,い
衣類,Central《島田中心エリア》,エランビタル,島田市栄町2-3,11:30～20:00,,,0547-37-7211,http://mimoza.shop-pro.jp/,カジュアルをベースに大人モードなエッセンスをプラス!セレクトショップです,え
花屋,Central《島田中心エリア》,お花屋　TONTTU,島田市旗指534-7牛尾ビル1-6,9:30～18:30,,,0547-36-8717,http://e-tonttu.com/,花・プリザードフラワー等取り揃えています。ギフトお任せください！,お
飲食店,North《川根エリア》,お食事処たばこ屋,島田市川根町家山660-2,11:00～14:00,月曜日,,0547-53-2103,http://shizuoka.j47.jp/tabakoya/,テーブルとお座席があり、様々な用途でご利用頂けます,お
飲食店,South《初倉エリア》,お茶のさすき園,島田市坂本938-1,9:00～19:00 （日曜9：00～18：00),,,0547-38-2107,http://sasuki.jp/store/shimada,自社生産のお茶はもちろん、お茶をつかったスイーツを販売。,お
雑貨,Central《島田中心エリア》,かざりや平林,島田市本通6-7862,9:30～20:00,水曜日,,0547-37-5614,http://www.kazariya.tv/,ジュエリーの修理・加工・リフォーム・小売りの専門店,か
その他,South《初倉エリア》,クルマ買取・輸出カースタ/田中石油,島田市船木244-5,8:00～19:00,,,0547-38-0079,,どんなクルマでも最低２万円以上で買取ります。(軽は5千円から),く
和洋菓子,East《六合エリア》,ケーキ工房リモージュ,島田市東町1383-2,9:30～20:00,火曜日,,0547-36-9522,http://www.limoges-web.com/,季節のケーキと本物そっくり面白ケーキ,け
飲食店,Central《島田中心エリア》,ごはん cafe美・菜・健 かりん,島田市中溝町1632-9,11:30～17:00,,,0547-36-7711,http://shizuoka.j47.jp/karin/,野菜料理中心のランチのお店。体に優しいでのんびりおくつろぎを,ご
飲食店,Central《島田中心エリア》,こまつ,島田市幸町17-4,平日 ／11：00～13：30　17：00～22：00●ラストオーダー21：30日曜・祝日／11：00～13：30　17：00～21：30●ラストオーダー21：00,月曜日,,0547-37-3681,http://www.komatsu3.com/06_shop/index.html,"季節に合わせた旬の食材を取り入れた創作和食料理を日替わり、週替わりにお楽しみいただけます。島田を代表する地酒「おんな泣かせ」を始めとする20種類以上の冷酒を取り揃えており、ランチメニューから、一品料理・宴会コースまで、料理の種類も豊富にご用意させていただいております。",こ
衣類,Central《島田中心エリア》,こんけい,島田市中河町1945,9:30 ～ 19:00,,,0547-37-3955,http://konk.jp/,貴方の為に一点一点縫い上げた、こだわりアロハ(和ろは)です。現在では、和ろはシャツにとどまらず、きものonＴシャツ、手描きＴシャツ、誂え足袋など、KIMONO CREATOR として、服飾における「和」の新しい形を追求し続けております,こ
雑貨,East《六合エリア》,シバモクショップ,島田市東町1379,10:00～18:00,年末年始・臨時休業,,0547-35-0612,http://www.shibamokushop.com/,かわいい木製雑貨がいっぱい　大人気の動物スプーン,し
衣類,Central《島田中心エリア》,シマダリフォーム,島田市本通1-3-4,9:00～19:00,,,0547-37-5421,https://m.facebook.com/shimadareform?_rdr,創業30年、母子二代でお客様の思いを大切に一針入魂直します。,し
飲食店,West《金谷エリア》,とろろ屋ととろ,島田市金谷富士見町3172,[月・火・金～日]10:00～22:00 [水]10:00～16:00,木曜日,利用可,0547‐32‐9637,http://tororoyatotoro.com/,地元の食材を使ったとろろ料理　創作料理のお店,と
その他,Central《島田中心エリア》,なるおかサイクル,島田市大井町6-11,10:00～20:00,水曜日,,0547-37-3609,http://www.naro-jp.com/WWW.NARO-JP.COM/Welcome.html,ロードバイクやマウンテンバイクなどスポーツ系に強い店です,な
衣類,Central《島田中心エリア》,パームスクラブ,島田市日之出町3-7,12:00～20:00,,,0547-34-4515,http://www.palmsclub.jp/,人気のＨＲＭなどメンズ、レディースを取り扱うお店。,ぱ
和洋菓子,South《初倉エリア》,パティスリー アルペンローゼ,島田市阪本1444-6,10:30～20:00,水曜日･第一火曜日,,0547-38-5002,http://www4.tokai.or.jp/AlpenRose/,フルーツたっぷりのおいしいケーキと焼菓子のかわいいラッピングがいっぱい,ぱ
その他,Central《島田中心エリア》,ビューティスタジオ ノエ,島田市日之出町1-3,9:00～18:00,土曜日・日曜日・祝祭日,,0547-35-4888,http://www.noevir.co.jp/index.htm,アロマの香りに癒されながら、ゆったりとマッサージを受けて頂けるフェイシァサロンです。,び
飲食店,Central《島田中心エリア》,ふじ膳,島田市栄町2-4,17:00～24:00,月曜日,,0547-37-3990,https://m.facebook.com/fujizen.junko?_rdr,大衆料理、おふくろの味です。明るくアットホームなお店です。,ふ
飲食店,Central《島田中心エリア》,ポプリ,島田市大津通４?３,10:00～22:00,第2・第4　木曜日,,0547-36-7771,http://www.popuri-co.jp/,県内唯一、トアルコトラジャマイスター認定店！イラスト似顔絵ケーキ！,ぽ
食品関連,North《川根エリア》,マルイエ醤油川根本家,島田市川根町家山796,9:00～19:00,,,0547-53-2212,https://ja-jp.facebook.com/maruieshouyu,創業明治43年　昔ながらの製法で味噌醤油を製造販売,ま
花屋,North《川根エリア》,ラブリーホースガーデン,島田市川根町家山1229-2,9:00～18:00,,,0547-53-4079,http://www.lovelyhorsegarden.com/,緑溢れる森林、美しい小川ときれいな空気。田舎ならではのロケーションがここラブリーホースガーデンには存在します。 川での水遊びや山の探検等の自然とのふれあいはもちろんの事、緑に包まれての乗馬はまた格別です。乗馬をやった事がなくても心配はありません。インストラクターが丁寧にアドバイス致します。,ら
雑貨,Central《島田中心エリア》,ローズショップ,島田市ばらの丘1丁目21-1,10:00～18:00,,,0547-37-0888,http://www.shimada-roseshop.jp/,ばらの丘公園のショップより西隣に新築移転オープン,ろ
和洋菓子,North《川根エリア》,加藤菓子舗,島田市川根町身成3530-5,8:00～18:00,,,0547-53-2176,http://shizuoka.j47.jp/katokashiho/,川根大福、川根抹茶プリンなど川根茶を使ったお菓子を販売しています,か
食品関連,Central《島田中心エリア》,海産物処ふじ田,島田市新田町５?２４,9:00～19:00,日曜日,,0547-37-6671,http://www.kaisanbutsu-fujita.com/,手火山式のかつお節取扱店。こだわりの乾物専門店,か
飲食店,Central《島田中心エリア》,割烹 磯藤,島田市大井町2-4,17:00～22:00,,,0547-35-0225,http://r.gnavi.co.jp/fgfzd77h0000/,居酒屋料理から本格割烹まで幅広く安く,か
和洋菓子,Central《島田中心エリア》,吉村鯛焼屋,島田市本通4丁目20,10:00～19:00,木曜日,,0547-37-2978,,本物の鯛焼きをぜひ一度！！,よ
飲食店,East《六合エリア》,魚一,島田市道悦5丁目1-18,11:30～14:30 17:00～22:00(要予約),,,0547-37-3263,http://www.shimada-uoichi.com/toiawase.htm,創業明治元年の日本料理店です,う
食品関連,Central《島田中心エリア》,桑原精肉店,島田市本通1丁目1-17,9:00～18:00,水曜日,,0547-35-3258,http://焼豚.jp/,創業明治22年から、『宮小路 くわばら牛や』として、長きに渡って秘伝の製法を守り続け、おいしいお肉、おいしい焼豚を提供させていただくことで、地元である静岡県の多くの方々に支えられ、親しまれてきました。,く
雑貨,Central《島田中心エリア》,時計屋さん☆むらまつ,島田市本通3-6-1,9:00～18:00,水曜日･祝祭日,,0547-35-2653,http://muramatsutokei.com/,ロレックス販売・修理・買取・中古時計も販売,と
その他,West《金谷エリア》,写真工房モリサワ,島田市金谷栄町3537,9:00～18:00,,,0547-45-5810,,証明写真、家族写真、出張撮影など写真の事なら何でも,し
家具,Central《島田中心エリア》,寝装寝具みやち,島田市中溝町1407-5,9:00～19:30,,利用可,0547-37-4478,http://f-koten.jp/shop/503,お布団のことからスノコベット、枕のことまで何でも相談ください。,し
その他,Central《島田中心エリア》,西東石油　島田本通SS,島田市本通１丁目4695-1,7:00～19:30,,,0547-37-6464,,車販、車検、カー用品、車のことなら何でもご相談ください,せ
飲食店,North《川根エリア》,"茶房""遊""",島田市川根町身成4693,10:00～18:00,,,0547-36-2653,http://tea-asahien.com/,川根茶問屋朝日園超区営ショップ　茶カフェ、ギャラリーショップなど,ち
飲食店,West《金谷エリア》,中屋酒店,島田市横岡新田228,8:00～21:00,毎週火曜日,,0547-45-3208,http://nakayasake.eshizuoka.jp/,田舎の昔ながらの小さな酒屋です。,な
