type,name,notice,furigana
衣類,&mm SOUVENIR STORE,古着のリメイク、一点物のアンティークビーズアクセサリー、ベルギーのリネンの服など「ここにしかないもの」を集めてあります。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
衣類,エランビタル,カジュアルをベースに大人モードなエッセンスをプラス!セレクトショップです<br/><li><a href="URL">地図</a></li><br><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,え
衣類,Zeal,古着、雑貨、レディース、メンズ、アクセサリーのセレクトショップです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
衣類,シマダリフォーム,創業30年、母子二代でお客様の思いを大切に一針入魂直します。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
衣類,パームスクラブ,人気のＨＲＭなどメンズ、レディースを取り扱うお店。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
衣類,Plus Style Garden Teimu,緑に囲まれた暮らしの提案。洋服、雑貨、花、庭づくりまで暮らしに彩りを。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
飲食店,味わい処 座楽,老若男女問わず食を楽しめるお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
飲食店,魚一,創業明治元年の日本料理店です<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,う
飲食店,お茶のさすき園,自社生産のお茶はもちろん、お茶をつかったスイーツを販売。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
飲食店,お食事処たばこ屋,テーブルとお座席があり、様々な用途でご利用頂けます<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
飲食店,Cafe Zeal,人気の煮込みハンバーグや日替わりパスタ、インドネシア風チャーハンのナシゴレンなどはお店の手作り料理です。数種類のケーキもcafe Zealオリジナルです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
飲食店,割烹 磯藤,居酒屋料理から本格割烹まで幅広く安く<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
飲食店,ごはん cafe美・菜・健 かりん,野菜料理中心のランチのお店。体に優しいでのんびりおくつろぎを<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,こ
飲食店,"茶房" "遊",川根茶問屋朝日園超区営ショップ 茶カフェ、ギャラリーショップなど<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,さ
飲食店,din/g.place,"グリーンとナチュラル雑貨のショップ「Plus Style Garden teimu」の姉妹店です。緑に囲まれた中で、ゆったりとお食事やティータイムを楽しめます。"<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,た
飲食店,This is Cafe 新金谷駅店,SLの見える駅でおいしいラテをどうぞ<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,て
飲食店,とりっこ倶楽部ホシノ,珍しい卵と一黒シャモの肉、手づくりプリン。健康補助食品も<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
飲食店,とろろ屋ととろ,地元の食材を使ったとろろ料理 創作料理のお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
飲食店,中屋酒店,田舎の昔ながらの小さな酒屋です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,な
飲食店,ふじ膳,大衆料理、おふくろの味です。明るくアットホームなお店です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
飲食店,ポプリ,県内唯一、トアルコトラジャマイスター認定店！イラスト似顔絵ケーキ！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ほ
飲食店,麺 大鷹,あっさりスープにカツオの風味でまた食べたくなる一杯！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,め
家具,インテリアショップFORMS,素材を活かしたこだわりの家具と雑貨を取り揃えています<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,い
家具,寝装寝具みやち,お布団のことからスノコベット、枕のことまで何でも相談ください。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
雑貨,インテリアショップFORMS,素材を活かしたこだわりの家具と雑貨を取り揃えています<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,い
雑貨,かざりや平林,ジュエリーの修理・加工・リフォーム・小売りの専門店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
雑貨,シバモクショップ,かわいい木製雑貨がいっぱい 大人気の動物スプーン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
雑貨,Zeal,古着、雑貨、レディース、メンズ、アクセサリーのセレクトショップです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
雑貨,din/g.place,"グリーンとナチュラル雑貨のショップ「Plus Style Garden teimu」の姉妹店です。緑に囲まれた中で、ゆったりとお食事やティータイムを楽しめます。"<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,た
雑貨,時計屋さん☆むらまつ,ロレックス販売・修理・買取・中古時計も販売<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
雑貨,花と香りの店 カモマイル,島田市の金谷栄町で経営しているお花屋さん。店舗名の『カモマイル』はハーブのカモマイルからとったものです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
雑貨,Plus Style Garden Teimu,緑に囲まれた暮らしの提案。洋服、雑貨、花、庭づくりまで暮らしに彩りを。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
雑貨,文具・事務機のオカダ,事務用品・文具・オフィス家具を始め、ＯＡ周辺用品・印刷・各種法令用紙類等、皆様のご要望に沿えるよう取り揃えています。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
雑貨,ローズショップ,ばらの丘公園のショップより西隣に新築移転オープン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ろ
食品関連,海産物処ふじ田,手火山式のかつお節取扱店。こだわりの乾物専門店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
食品関連,桑原精肉店,創業明治22年から、『宮小路 くわばら牛や』として、長きに渡って秘伝の製法を守り続け、おいしいお肉、おいしい焼豚を提供させていただくことで、地元である静岡県の多くの方々に支えられ、親しまれてきました。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
食品関連,ku-pan,本格パンからマシュマロを使ったオリジナルパンまで<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
食品関連,マルイエ醤油川根本家,創業明治43年 昔ながらの製法で味噌醤油を製造販売<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ま
その他,クルマ買取・輸出カースタ/田中石油,どんなクルマでも最低２万円以上で買取ります。(軽は5千円から)<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
