type,area,name,adress,time,holiday,card,tell,url,index,furigana
和洋菓子,North《川根エリア》,朝日園 駅前本店,島田市川根町家山372-1,8:00～18:00,,,0547-53-2058,http://tea-asahien.com/?mode=f2,大井川鉄道家山駅前。茶の香ただよう店内で新茶を楽しめます。,あ
飲食店,North《川根エリア》,朝日園　茶房遊,島田市川根町身成４６９３番地,10時～18時,火曜日,,0547-53-4488,,島田市川根町の入り口にあるお茶カフェです。芝生に面したのどかなテラスがおすすめ♪新緑を味わいにぜひいらしてください。,あ
飲食店,East《六合エリア》,味わい処　座楽,藤枝市青南町4-12-22,11:00～14:00 17:00～22:30,年末年始・特定日,,054-636-7890,http://m.facebook.com/zaraku0201?_rdr,老若男女問わず食を楽しめるお店,あ
その他,Central《島田中心エリア》,auショップ島田,島田市大津通8589-1,9：45〜19：45,なし,,0547-34-2844,,auショップ島田店です。従来は携帯電話のみの取り扱いでしたが現在は携帯電話以外にも、様々な商材をご提供しています。でんきやウォーターサーバー、日用品のお買い物など、皆様の日々の暮らしをサポートします♪お気軽にご相談ください♪,え
花屋,Central《島田中心エリア》,お花屋　TONTTU,島田市旗指534-7牛尾ビル1-6,9:30～18:30,,,0547-36-8717,http://e-tonttu.com/,花・プリザードフラワー等取り揃えています。ギフトお任せください！,お
飲食店,North《川根エリア》,お食事処たばこや,島田市川根町家山660-2,11:00～14:00,月曜日,,0547-53-2103,http://shizuoka.j47.jp/tabakoya/,テーブルとお座席があり、様々な用途でご利用頂けます,お
飲食店,South《初倉エリア》,お茶のさすき園,島田市坂本938-1,9:00～19:00 （日曜9：00～18：00),,,0547-38-2107,http://sasuki.jp/store/shimada,自社生産のお茶はもちろん、お茶をつかったスイーツを販売。,お
飲食店,Central《島田中心エリア》,Cafe &Cafe ポプリ,島田市大津通４-３,10:00～22:00,第2・第4　木曜日,,0547-36-7771,http://www.popuri-co.jp/,県内唯一、トアルコトラジャマイスター認定店！イラスト似顔絵ケーキ！,か
飲食店,Central《島田中心エリア》,Cafe Zeal,島田市本通4-7937-2,"土曜　11:30～22:00
日曜　10:30～18:00",火曜日,,0547-33-6686,http://shimada-eh.appspot.com/detail/agxzfnNoaW1hZGEtZWhyCwsSBFNob3AY_VAM,人気の煮込みハンバーグや日替わりパスタ、インドネシア風チャーハンのナシゴレンなどはお店の手作り料理です。数種類のケーキもcafe Zealオリジナルです。,か
雑貨,Central《島田中心エリア》,かざりや平林,島田市本通6-7862,9:30～20:00,水曜日,,0547-37-5614,http://www.kazariya.tv/,ジュエリーの修理・加工・リフォーム・小売りの専門店,か
